nblocks:nthreads_per_block:niter_bench:img_len:gpu_compute_time_seconds
3060:1:11:104857600:0,25692058
3060:2:11:104857600:0,12811540
3060:3:11:104857600:0,08906013
3060:5:11:104857600:0,05627206
3060:7:11:104857600:0,04134555
3060:9:11:104857600:0,03311750
3060:11:11:104857600:0,02566223
3060:13:11:104857600:0,02352384
3060:15:11:104857600:0,01974146
3060:17:11:104857600:0,01921447
3060:18:11:104857600:0,02003324
3060:19:11:104857600:0,01660395
3060:20:11:104857600:0,01806291
3060:21:11:104857600:0,01571449
3060:22:11:104857600:0,01649418
3060:24:11:104857600:0,01489068
3060:26:11:104857600:0,01277833
3060:27:11:104857600:0,01350179
3060:29:11:104857600:0,01257624
3060:31:11:104857600:0,01189231
3060:32:11:104857600:0,01098904
3060:34:11:104857600:0,01095818
3060:36:11:104857600:0,01026205
3060:37:11:104857600:0,01000269
3060:38:11:104857600:0,00972124
3060:39:11:104857600:0,00950396
3060:40:11:104857600:0,00925443
3060:41:11:104857600:0,00905777
3060:43:11:104857600:0,00866074
3060:45:11:104857600:0,00827446
3060:47:11:104857600:0,00792625
3060:49:11:104857600:0,00764220
3060:50:11:104857600:0,00749259
3060:51:11:104857600:0,00735540
3060:52:11:104857600:0,00722121
3060:54:11:104857600:0,00696222
3060:56:11:104857600:0,00672093
3060:57:11:104857600:0,00664993
3060:58:11:104857600:0,00653855
3060:59:11:104857600:0,00643887
3060:60:11:104857600:0,00633357
3060:62:11:104857600:0,00612946
3060:63:11:104857600:0,00604653
3060:65:11:104857600:0,00895952
3060:66:11:104857600:0,00882536
3060:67:11:104857600:0,00870988
3060:68:11:104857600:0,00859768
3060:70:11:104857600:0,00835166
3060:72:11:104857600:0,00812498
3060:73:11:104857600:0,00803616
3060:75:11:104857600:0,00783062
3060:77:11:104857600:0,00762363
3060:79:11:104857600:0,00743770
3060:81:11:104857600:0,00727011
3060:82:11:104857600:0,00717889
3060:84:11:104857600:0,00701973
3060:86:11:104857600:0,00685303
3060:87:11:104857600:0,00676574
3060:89:11:104857600:0,00663700
3060:91:11:104857600:0,00650913
3060:92:11:104857600:0,00644362
3060:93:11:104857600:0,00636938
3060:95:11:104857600:0,00624356
3060:97:11:104857600:0,00743840
3060:99:11:104857600:0,00730638
3060:100:11:104857600:0,00724586
3060:102:11:104857600:0,00711196
3060:104:11:104857600:0,00701802
3060:106:11:104857600:0,00689970
3060:108:11:104857600:0,00677819
3060:109:11:104857600:0,00670360
3060:110:11:104857600:0,00665423
3060:112:11:104857600:0,00662151
3060:114:11:104857600:0,00646263
3060:115:11:104857600:0,00640163
3060:116:11:104857600:0,00637432
3060:117:11:104857600:0,00632943
3060:119:11:104857600:0,00621749
3060:120:11:104857600:0,00617065
3060:121:11:104857600:0,00612768
3060:123:11:104857600:0,00603850
3060:125:11:104857600:0,00595567
3060:127:11:104857600:0,00587197
3060:129:11:104857600:0,00747113
3060:131:11:104857600:0,00735574
3060:132:11:104857600:0,00729764
3060:133:11:104857600:0,00724897
3060:134:11:104857600:0,00718846
3060:136:11:104857600:0,00709424
3060:137:11:104857600:0,00704695
3060:138:11:104857600:0,00699854
3060:139:11:104857600:0,00695311
3060:141:11:104857600:0,00685219
3060:142:11:104857600:0,00681218
3060:143:11:104857600:0,00675665
3060:145:11:104857600:0,00668970
3060:146:11:104857600:0,00663052
3060:147:11:104857600:0,00658536
3060:148:11:104857600:0,00654722
3060:149:11:104857600:0,00650851
3060:151:11:104857600:0,00642125
3060:153:11:104857600:0,00635254
3060:155:11:104857600:0,00627898
3060:157:11:104857600:0,00620555
3060:158:11:104857600:0,00616447
3060:160:11:104857600:0,00613735
3060:162:11:104857600:0,00704595
3060:163:11:104857600:0,00700620
3060:165:11:104857600:0,00693012
3060:166:11:104857600:0,00689301
3060:167:11:104857600:0,00684221
3060:169:11:104857600:0,00677420
3060:171:11:104857600:0,00670472
3060:173:11:104857600:0,00662429
3060:175:11:104857600:0,00654842
3060:176:11:104857600:0,00657986
3060:178:11:104857600:0,00645169
3060:179:11:104857600:0,00641482
3060:180:11:104857600:0,00638525
3060:182:11:104857600:0,00631542
3060:184:11:104857600:0,00626696
3060:185:11:104857600:0,00622687
3060:187:11:104857600:0,00617550
3060:189:11:104857600:0,00610787
3060:191:11:104857600:0,00604547
3060:192:11:104857600:0,00611911
3060:193:11:104857600:0,00734132
3060:194:11:104857600:0,00729634
3060:195:11:104857600:0,00726185
3060:196:11:104857600:0,00722751
3060:197:11:104857600:0,00719314
3060:199:11:104857600:0,00711477
3060:200:11:104857600:0,00710129
3060:202:11:104857600:0,00702888
3060:204:11:104857600:0,00695770
3060:206:11:104857600:0,00689111
3060:208:11:104857600:0,00690479
3060:210:11:104857600:0,00677384
3060:211:11:104857600:0,00674038
3060:213:11:104857600:0,00668913
3060:215:11:104857600:0,00661807
3060:216:11:104857600:0,00661051
3060:217:11:104857600:0,00656901
3060:219:11:104857600:0,00651993
3060:221:11:104857600:0,00646935
3060:222:11:104857600:0,00643967
3060:224:11:104857600:0,00651791
3060:226:11:104857600:0,00644442
3060:227:11:104857600:0,00641137
3060:229:11:104857600:0,00636006
3060:231:11:104857600:0,00630024
3060:233:11:104857600:0,00625741
3060:235:11:104857600:0,00621791
3060:236:11:104857600:0,00620909
3060:238:11:104857600:0,00613848
3060:239:11:104857600:0,00611264
3060:240:11:104857600:0,00615123
3060:241:11:104857600:0,00606961
3060:243:11:104857600:0,00601646
3060:245:11:104857600:0,00598330
3060:246:11:104857600:0,00595852
3060:247:11:104857600:0,00593044
3060:248:11:104857600:0,00593373
3060:250:11:104857600:0,00587583
3060:252:11:104857600:0,00584407
3060:254:11:104857600:0,00579308
3060:255:11:104857600:0,00577210
3060:256:11:104857600:0,00579376
3060:258:11:104857600:0,00730299
3060:260:11:104857600:0,00727543
3060:261:11:104857600:0,00722191
3060:263:11:104857600:0,00716545
3060:264:11:104857600:0,00715313
3060:265:11:104857600:0,00711682
3060:267:11:104857600:0,00706598
3060:268:11:104857600:0,00704324
3060:269:11:104857600:0,00700979
3060:271:11:104857600:0,00696930
3060:273:11:104857600:0,00692158
3060:275:11:104857600:0,00687301
3060:277:11:104857600:0,00682748
3060:278:11:104857600:0,00680315
3060:280:11:104857600:0,00676326
3060:282:11:104857600:0,00671542
3060:283:11:104857600:0,00669800
3060:284:11:104857600:0,00667882
3060:285:11:104857600:0,00665110
3060:286:11:104857600:0,00663096
3060:287:11:104857600:0,00661089
3060:288:11:104857600:0,00667019
3060:289:11:104857600:0,00661361
3060:290:11:104857600:0,00659058
3060:292:11:104857600:0,00654982
3060:294:11:104857600:0,00650515
3060:296:11:104857600:0,00647067
3060:297:11:104857600:0,00644518
3060:298:11:104857600:0,00642437
3060:299:11:104857600:0,00640797
3060:300:11:104857600:0,00638717
3060:302:11:104857600:0,00633781
3060:303:11:104857600:0,00632722
3060:305:11:104857600:0,00628643
3060:306:11:104857600:0,00626558
3060:308:11:104857600:0,00623719
3060:310:11:104857600:0,00619585
3060:311:11:104857600:0,00617037
3060:313:11:104857600:0,00613997
3060:315:11:104857600:0,00610866
3060:317:11:104857600:0,00606940
3060:319:11:104857600:0,00603221
3060:321:11:104857600:0,00861867
3060:322:11:104857600:0,00859525
3060:323:11:104857600:0,00858411
3060:324:11:104857600:0,00853180
3060:325:11:104857600:0,00852086
3060:326:11:104857600:0,00848578
3060:328:11:104857600:0,00838632
3060:329:11:104857600:0,00842420
3060:330:11:104857600:0,00840439
3060:331:11:104857600:0,00837670
3060:332:11:104857600:0,00834761
3060:333:11:104857600:0,00832806
3060:334:11:104857600:0,00829900
3060:335:11:104857600:0,00828005
3060:337:11:104857600:0,00824668
3060:339:11:104857600:0,00818671
3060:341:11:104857600:0,00816009
3060:342:11:104857600:0,00812334
3060:343:11:104857600:0,00810576
3060:344:11:104857600:0,00809301
3060:345:11:104857600:0,00805825
3060:346:11:104857600:0,00801987
3060:348:11:104857600:0,00797350
3060:349:11:104857600:0,00798135
3060:351:11:104857600:0,00793057
3060:353:11:104857600:0,00792362
3060:355:11:104857600:0,00787520
3060:357:11:104857600:0,00783645
3060:359:11:104857600:0,00779079
3060:361:11:104857600:0,00774754
3060:363:11:104857600:0,00771933
3060:364:11:104857600:0,00770075
3060:366:11:104857600:0,00765651
3060:368:11:104857600:0,00765805
3060:369:11:104857600:0,00759976
3060:370:11:104857600:0,00757868
3060:372:11:104857600:0,00754163
3060:374:11:104857600:0,00750094
3060:376:11:104857600:0,00746714
3060:377:11:104857600:0,00744278
3060:379:11:104857600:0,00741026
3060:380:11:104857600:0,00739596
3060:382:11:104857600:0,00735421
3060:383:11:104857600:0,00733820
3060:384:11:104857600:0,00741365
3060:385:11:104857600:0,00733977
3060:386:11:104857600:0,00731984
3060:388:11:104857600:0,00729059
3060:390:11:104857600:0,00725458
3060:391:11:104857600:0,00722368
3060:393:11:104857600:0,00720118
3060:395:11:104857600:0,00717382
3060:396:11:104857600:0,00716210
3060:397:11:104857600:0,00712804
3060:398:11:104857600:0,00711107
